query_id,text,language,旧标签提示_灾种,旧标签提示_查询类型,旧标签提示_风险等级,旧标签提示_回退,旧标签提示_扰动类型,当前灾种,当前查询类型,当前风险等级_L0_L3,当前是否C3回退,当前gold_evidence_ids,必需行动,禁止行动,协议家族,协议版本,辖区,证据空白,标注者A,日期A,标注者B,日期B,仲裁者,仲裁日期,最终状态,备注
pilot_legacy_clean_0084,头被碰到，现在很晕,zh-CN,injury_first_aid,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0095,这里有冷风，我浑身很冷,zh-CN,extreme_weather_exposure,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0097,这里地上都是水，我一直发抖,zh-CN,extreme_weather_exposure,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0104,我很害怕，不知道该怎么办,zh-CN,cross_disaster_support,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0106,我快崩溃了，不知道该怎么办,zh-CN,cross_disaster_support,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0109,我出不去,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0125,墙还在裂,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0129,刚停下来又有东西掉下来,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0133,我没吃的,zh-CN,extreme_weather_exposure,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0134,我嘴很干没水,zh-CN,extreme_weather_exposure,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0138,我被困很久了，没力气,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0140,手机电量很低,zh-CN,operational_constraint,clean_control,0,True,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0141,手机快关机了,zh-CN,operational_constraint,clean_control,0,True,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0043,周围很闷，我呼吸困难，手机快没电了,zh-CN,cross_disaster_health,multi_intent,3,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0044,周围很闷，我呼吸困难，手机只剩一点电,zh-CN,cross_disaster_health,multi_intent,3,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0064,我很害怕，因为伤口一直流血,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0075,手上血止不住，我脑子很乱,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0164,我头晕想吐，还出了很多血,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0165,我头晕想吐，还血止不住,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0199,上面在掉东西，我还被困着,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0211,又有余震，我腿很疼,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0218,上面还在掉东西，我胳膊肿了,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0232,我没水，手机也快没电,zh-CN,extreme_weather_exposure,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0235,我没吃的，手机也快没电,zh-CN,extreme_weather_exposure,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0236,我没吃的，手机也电量很低,zh-CN,extreme_weather_exposure,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0237,我没吃的，手机也快关机,zh-CN,extreme_weather_exposure,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0248,我很渴，身上还湿透了,zh-CN,extreme_weather_exposure,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0249,我很渴，身上还冷得发抖,zh-CN,extreme_weather_exposure,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0250,我没水，身上还很冷,zh-CN,extreme_weather_exposure,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0256,我很渴，现在很害怕,zh-CN,cross_disaster_support,multi_intent,0,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0262,我没吃的，现在很害怕,zh-CN,extreme_weather_exposure,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0267,我头晕想吐，现在特别想哭,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0282,我很崩溃，还眼前发黑,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0284,我头晕想吐，手机电量很低,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0298,我卡住了，还头很晕,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0300,我卡住了，还撞到头后有点想吐,zh-CN,injury_first_aid,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0311,我腿被压住了，手机电量低,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0312,我腿被压住了，手机快关机,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0314,我胳膊被卡住了，手机电量低,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0318,我身体被重物压着，手机快关机,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0319,我很冷，手机快没电,zh-CN,extreme_weather_exposure,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0324,我冷得发抖，手机快关机,zh-CN,extreme_weather_exposure,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0328,我很害怕，手机也快没电,zh-CN,cross_disaster_support,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0331,我很慌，手机也快没电,zh-CN,cross_disaster_support,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0333,我很慌，手机也快关机,zh-CN,cross_disaster_support,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0334,我很想哭，手机也快没电,zh-CN,cross_disaster_support,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0346,我腿疼，现在很害怕,zh-CN,injury_first_aid,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0349,我胳膊肿了，现在很害怕,zh-CN,injury_first_aid,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0354,我脚扭伤了，现在很想哭,zh-CN,injury_first_aid,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0360,我胳膊肿了，还门打不开,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0364,我腿很疼，旁边墙在裂,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0368,我手腕肿了，旁边还在掉东西,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0370,我脚扭了，旁边墙在裂,zh-CN,earthquake_building_safety,multi_intent,2,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_multi_0374,我腿疼，也没水,zh-CN,injury_first_aid,multi_intent,1,False,"[""multi_intent""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0024,我头晕，不过没流血,zh-CN,injury_first_aid,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0025,我头晕，不过没有头部出血,zh-CN,injury_first_aid,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0040,我很害怕，不是因为出血,zh-CN,cross_disaster_support,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0043,我很慌，不是因为出血,zh-CN,cross_disaster_support,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0051,我很慌，但不是喘不上气,zh-CN,cross_disaster_support,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0066,我被困住了，但还能正常呼吸,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0083,我血止不住，没有缺氧,zh-CN,injury_first_aid,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0089,我浑身很冷，不是吸不上气,zh-CN,extreme_weather_exposure,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0090,我衣服湿透了，不是喘不上气,zh-CN,extreme_weather_exposure,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0126,我腿被压住了，但头没撞到,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0127,我腿被压住了，但意识清楚,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0129,我手被重物压着，但头没撞到,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0130,我手被重物压着，但意识清楚,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0162,我很渴，但没有发冷,zh-CN,extreme_weather_exposure,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0163,我很渴，但没有失温,zh-CN,extreme_weather_exposure,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0164,我很渴，但没有冻僵,zh-CN,extreme_weather_exposure,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0168,我没吃的，但没有发冷,zh-CN,extreme_weather_exposure,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0182,我不渴也有水，但是手机快关机了,zh-CN,operational_constraint,negation_conflict,0,True,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0184,我有水有吃的，但是手机电量很低,zh-CN,operational_constraint,negation_conflict,0,True,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0185,我有水有吃的，但是手机快关机了,zh-CN,operational_constraint,negation_conflict,0,True,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0188,我还没缺水，但是手机快关机了,zh-CN,operational_constraint,negation_conflict,0,True,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0206,我浑身很冷，但不是没水,zh-CN,extreme_weather_exposure,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0213,我被困住了，但没有被压住,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0217,我出不去，但没有重物压着,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0232,我脚疼，但不是被重物压着,zh-CN,injury_first_aid,negation_conflict,1,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0241,我撞到头了，身体没有被挤压,zh-CN,injury_first_aid,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0242,我撞到头了，身体没有被重物卡住,zh-CN,injury_first_aid,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0246,又有余震，但我没有被压住,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0247,墙还在裂，但我没有被压住,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_neg_0248,上面在掉东西，但我没有被压住,zh-CN,earthquake_building_safety,negation_conflict,2,False,"[""negation_conflict""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
