query_id,text,annotator_id,keep_for_pilot,disaster_type_final,query_type_final,risk_level_final,should_fallback_final,gold_evidence_ids_final,required_actions_final,prohibited_actions_final,source_group_id_final,decision_status,notes
pilot_legacy_multi_0164,我头晕想吐，还出了很多血,,,,,,,,,,legacy_rair:case_multi_head_bleeding_001,unreviewed,
pilot_legacy_multi_0165,我头晕想吐，还血止不住,,,,,,,,,,legacy_rair:case_multi_head_bleeding_001,unreviewed,
pilot_legacy_multi_0196,墙还在裂，我还被困着,,,,,,,,,,legacy_rair:case_multi_aftershock_trapped_001,unreviewed,
pilot_legacy_multi_0199,上面在掉东西，我还被困着,,,,,,,,,,legacy_rair:case_multi_aftershock_trapped_001,unreviewed,
pilot_legacy_multi_0211,又有余震，我腿很疼,,,,,,,,,,legacy_rair:case_multi_aftershock_injury_003,unreviewed,
pilot_legacy_multi_0218,上面还在掉东西，我胳膊肿了,,,,,,,,,,legacy_rair:case_multi_aftershock_injury_003,unreviewed,
pilot_legacy_multi_0232,我没水，手机也快没电,,,,,,,,,,legacy_rair:case_multi_dehydration_battery_001,unreviewed,
pilot_legacy_multi_0235,我没吃的，手机也快没电,,,,,,,,,,legacy_rair:case_multi_dehydration_battery_001,unreviewed,
pilot_legacy_multi_0236,我没吃的，手机也电量很低,,,,,,,,,,legacy_rair:case_multi_dehydration_battery_001,unreviewed,
pilot_legacy_multi_0237,我没吃的，手机也快关机,,,,,,,,,,legacy_rair:case_multi_dehydration_battery_001,unreviewed,
pilot_legacy_multi_0248,我很渴，身上还湿透了,,,,,,,,,,legacy_rair:case_multi_dehydration_hypothermia_003,unreviewed,
pilot_legacy_multi_0249,我很渴，身上还冷得发抖,,,,,,,,,,legacy_rair:case_multi_dehydration_hypothermia_003,unreviewed,
pilot_legacy_multi_0250,我没水，身上还很冷,,,,,,,,,,legacy_rair:case_multi_dehydration_hypothermia_003,unreviewed,
pilot_legacy_multi_0256,我很渴，现在很害怕,,,,,,,,,,legacy_rair:case_multi_dehydration_panic_004,unreviewed,
pilot_legacy_multi_0262,我没吃的，现在很害怕,,,,,,,,,,legacy_rair:case_multi_dehydration_panic_004,unreviewed,
pilot_legacy_multi_0267,我头晕想吐，现在特别想哭,,,,,,,,,,legacy_rair:case_multi_head_panic_001,unreviewed,
pilot_legacy_multi_0282,我很崩溃，还眼前发黑,,,,,,,,,,legacy_rair:case_multi_head_panic_002,unreviewed,
pilot_legacy_multi_0284,我头晕想吐，手机电量很低,,,,,,,,,,legacy_rair:case_multi_head_battery_003,unreviewed,
pilot_legacy_multi_0298,我卡住了，还头很晕,,,,,,,,,,legacy_rair:case_multi_head_trapped_004,unreviewed,
pilot_legacy_multi_0300,我卡住了，还撞到头后有点想吐,,,,,,,,,,legacy_rair:case_multi_head_trapped_004,unreviewed,
pilot_legacy_multi_0311,我腿被压住了，手机电量低,,,,,,,,,,legacy_rair:case_multi_crush_battery_002,unreviewed,
pilot_legacy_multi_0312,我腿被压住了，手机快关机,,,,,,,,,,legacy_rair:case_multi_crush_battery_002,unreviewed,
pilot_legacy_multi_0314,我胳膊被卡住了，手机电量低,,,,,,,,,,legacy_rair:case_multi_crush_battery_002,unreviewed,
pilot_legacy_multi_0318,我身体被重物压着，手机快关机,,,,,,,,,,legacy_rair:case_multi_crush_battery_002,unreviewed,
pilot_legacy_multi_0319,我很冷，手机快没电,,,,,,,,,,legacy_rair:case_multi_hypothermia_battery_003,unreviewed,
pilot_legacy_multi_0324,我冷得发抖，手机快关机,,,,,,,,,,legacy_rair:case_multi_hypothermia_battery_003,unreviewed,
pilot_legacy_multi_0328,我很害怕，手机也快没电,,,,,,,,,,legacy_rair:case_multi_panic_battery_004,unreviewed,
pilot_legacy_multi_0331,我很慌，手机也快没电,,,,,,,,,,legacy_rair:case_multi_panic_battery_004,unreviewed,
pilot_legacy_multi_0333,我很慌，手机也快关机,,,,,,,,,,legacy_rair:case_multi_panic_battery_004,unreviewed,
pilot_legacy_multi_0334,我很想哭，手机也快没电,,,,,,,,,,legacy_rair:case_multi_panic_battery_004,unreviewed,
pilot_legacy_multi_0346,我腿疼，现在很害怕,,,,,,,,,,legacy_rair:case_multi_injury_panic_001,unreviewed,
pilot_legacy_multi_0349,我胳膊肿了，现在很害怕,,,,,,,,,,legacy_rair:case_multi_injury_panic_001,unreviewed,
pilot_legacy_multi_0354,我脚扭伤了，现在很想哭,,,,,,,,,,legacy_rair:case_multi_injury_panic_001,unreviewed,
pilot_legacy_multi_0360,我胳膊肿了，还门打不开,,,,,,,,,,legacy_rair:case_multi_injury_trapped_002,unreviewed,
pilot_legacy_multi_0364,我腿很疼，旁边墙在裂,,,,,,,,,,legacy_rair:case_multi_injury_aftershock_003,unreviewed,
pilot_legacy_multi_0368,我手腕肿了，旁边还在掉东西,,,,,,,,,,legacy_rair:case_multi_injury_aftershock_003,unreviewed,
pilot_legacy_multi_0370,我脚扭了，旁边墙在裂,,,,,,,,,,legacy_rair:case_multi_injury_aftershock_003,unreviewed,
pilot_legacy_multi_0374,我腿疼，也没水,,,,,,,,,,legacy_rair:case_multi_injury_dehydration_004,unreviewed,
pilot_legacy_neg_0024,我头晕，不过没流血,,,,,,,,,,legacy_rair:case_neg_bleeding_head_003,unreviewed,
pilot_legacy_neg_0025,我头晕，不过没有头部出血,,,,,,,,,,legacy_rair:case_neg_bleeding_head_003,unreviewed,
pilot_legacy_neg_0040,我很害怕，不是因为出血,,,,,,,,,,legacy_rair:case_neg_bleeding_panic_005,unreviewed,
pilot_legacy_neg_0043,我很慌，不是因为出血,,,,,,,,,,legacy_rair:case_neg_bleeding_panic_005,unreviewed,
pilot_legacy_neg_0051,我很慌，但不是喘不上气,,,,,,,,,,legacy_rair:case_neg_respiratory_panic_001,unreviewed,
pilot_legacy_neg_0066,我被困住了，但还能正常呼吸,,,,,,,,,,legacy_rair:case_neg_respiratory_trapped_003,unreviewed,
pilot_legacy_neg_0083,我血止不住，没有缺氧,,,,,,,,,,legacy_rair:case_neg_respiratory_bleeding_004,unreviewed,
pilot_legacy_neg_0089,我浑身很冷，不是吸不上气,,,,,,,,,,legacy_rair:case_neg_respiratory_hypothermia_005,unreviewed,
pilot_legacy_neg_0090,我衣服湿透了，不是喘不上气,,,,,,,,,,legacy_rair:case_neg_respiratory_hypothermia_005,unreviewed,
pilot_legacy_neg_0106,我手在流血，不过没有头晕,,,,,,,,,,legacy_rair:case_neg_head_injury_bleeding_002,unreviewed,
pilot_legacy_neg_0126,我腿被压住了，但头没撞到,,,,,,,,,,legacy_rair:case_neg_head_injury_crush_005,unreviewed,
pilot_legacy_neg_0127,我腿被压住了，但意识清楚,,,,,,,,,,legacy_rair:case_neg_head_injury_crush_005,unreviewed,
pilot_legacy_neg_0129,我手被重物压着，但头没撞到,,,,,,,,,,legacy_rair:case_neg_head_injury_crush_005,unreviewed,
pilot_legacy_neg_0130,我手被重物压着，但意识清楚,,,,,,,,,,legacy_rair:case_neg_head_injury_crush_005,unreviewed,
pilot_legacy_neg_0150,我伤口出血，没有发冷,,,,,,,,,,legacy_rair:case_neg_hypothermia_bleeding_002,unreviewed,
pilot_legacy_neg_0162,我很渴，但没有发冷,,,,,,,,,,legacy_rair:case_neg_hypothermia_dehydration_005,unreviewed,
pilot_legacy_neg_0163,我很渴，但没有失温,,,,,,,,,,legacy_rair:case_neg_hypothermia_dehydration_005,unreviewed,
pilot_legacy_neg_0164,我很渴，但没有冻僵,,,,,,,,,,legacy_rair:case_neg_hypothermia_dehydration_005,unreviewed,
pilot_legacy_neg_0168,我没吃的，但没有发冷,,,,,,,,,,legacy_rair:case_neg_hypothermia_dehydration_005,unreviewed,
pilot_legacy_neg_0182,我不渴也有水，但是手机快关机了,,,,,,,,,,legacy_rair:case_neg_dehydration_battery_002,unreviewed,
pilot_legacy_neg_0184,我有水有吃的，但是手机电量很低,,,,,,,,,,legacy_rair:case_neg_dehydration_battery_002,unreviewed,
pilot_legacy_neg_0185,我有水有吃的，但是手机快关机了,,,,,,,,,,legacy_rair:case_neg_dehydration_battery_002,unreviewed,
pilot_legacy_neg_0188,我还没缺水，但是手机快关机了,,,,,,,,,,legacy_rair:case_neg_dehydration_battery_002,unreviewed,
pilot_legacy_neg_0200,我脚踝疼，不是没吃的,,,,,,,,,,legacy_rair:case_neg_dehydration_pain_003,unreviewed,
pilot_legacy_neg_0205,我浑身很冷，但不是缺水,,,,,,,,,,legacy_rair:case_neg_dehydration_hypothermia_004,unreviewed,
pilot_legacy_neg_0206,我浑身很冷，但不是没水,,,,,,,,,,legacy_rair:case_neg_dehydration_hypothermia_004,unreviewed,
pilot_legacy_neg_0213,我被困住了，但没有被压住,,,,,,,,,,legacy_rair:case_neg_crush_trapped_001,unreviewed,
pilot_legacy_neg_0217,我出不去，但没有重物压着,,,,,,,,,,legacy_rair:case_neg_crush_trapped_001,unreviewed,
pilot_legacy_neg_0222,我腿疼，但不是被压住,,,,,,,,,,legacy_rair:case_neg_crush_pain_002,unreviewed,
pilot_legacy_neg_0232,我脚疼，但不是被重物压着,,,,,,,,,,legacy_rair:case_neg_crush_pain_002,unreviewed,
pilot_legacy_neg_0241,我撞到头了，身体没有被挤压,,,,,,,,,,legacy_rair:case_neg_crush_head_004,unreviewed,
pilot_legacy_neg_0242,我撞到头了，身体没有被重物卡住,,,,,,,,,,legacy_rair:case_neg_crush_head_004,unreviewed,
pilot_legacy_neg_0246,又有余震，但我没有被压住,,,,,,,,,,legacy_rair:case_neg_crush_aftershock_005,unreviewed,
pilot_legacy_neg_0247,墙还在裂，但我没有被压住,,,,,,,,,,legacy_rair:case_neg_crush_aftershock_005,unreviewed,
pilot_legacy_neg_0248,上面在掉东西，但我没有被压住,,,,,,,,,,legacy_rair:case_neg_crush_aftershock_005,unreviewed,
